"","Paper","doi","lab.field","Polymer","Shape","Size (µm)","Species","Organisms","Tissue translocation observed (Y/N)","Uptake (%)","Tissue","Exposure_route","Notes","Pass_all_red_criteria","Uptake_kinetic_constant(mL/g-h)","BCF(mL/g)","size.um","size.nm","translocated_10","article","Test Medium Reported*","Administration Route Reported*","Test Species Reported*","Sample Size Reported*","Control Group Reported*","Exposure Duration Reported*","Particle Size*","Particle Shape*","Polymer Type*","Source of Microplastics*","Data Reporting*","Chemical Purity","Laboratory Preparation","Background Contamination","Exposure Verification","Exposure Homogeneity","Exposure Assessment","Replication","risk.b1","Endpoints","Food Availability","Effect Thresholds","Dose Response","Concentration Range","Risk Assessment","Microplastic Diversity","Exposure Time","technical.quality","risk.quality","total.quality","score.source","tech.tier.zero","tech.tier.zero.criteria.failure","risk.tier.zero","risk.tier.zero.criteria.failure"
"11","Collard et al, 2018","10.1016/j.scitotenv.2018.06.313","Field","PET, PP, PAN, PEVA","Fiber, fragment",28,"Squalius cephalus","Fish","Y","NA","Liver","field","Chemical identification but poor contamination prevention during dissection of fish",NA,NA,NA,28,28000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Cui et al, 2017","10.1038/s41598-017-12299-2","Lab","PS","Sphere",0.052,"Daphnia galeata","Crustacean","Y","NA","Brood chamber, ovary, embryos, thoracic appendices","Water","No verification of dye leaching",NA,NA,NA,0.052,52,1,21,2,2,2,2,2,2,2,0,1,1,1,0,0,0,0,0,1,2,"F",2,2,0,0,0,0,0,0,8,4,12,"EM,SS","Fail","2","Fail","B1"
"13","De Sales-Ribeiro et al, 2020","10.1038/s41598-020-69062-3","Lab","Propretary composition (cospheric)","Sphere",1.634,"Danio rerio","Fish","Y","NA","Liver","Food","No control for dye leaching from fluorescent spheres",NA,NA,NA,1.634,1634,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","De Sales-Ribeiro et al, 2020","10.1038/s41598-020-69062-3","Lab","Nylon","Fiber",1500,"Danio rerio","Fish","N","NA","NA","Food",NA,NA,NA,NA,1500,1500000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","De Sales-Ribeiro et al, 2020","10.1038/s41598-020-69062-3","Lab","PE","Fragment",220,"Danio rerio","Fish","N","NA","NA","Food",NA,NA,NA,NA,220,220000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Ding et al, 2018","10.1016/j.envpol.2018.03.001","Lab","PS","Sphere",0.1,"Oreochromis niloticus","Fish","Y","NA","Liver and brain","Water","No test for leaching of dye + harsh condition of tissue digestion but good recoveries",NA,NA,NA,0.1,100,1,126,2,2,2,2,2,2,1,2,1,1,2,1,0,0,2,0,2,2,"P",1,0,0,0,1,0,0,0,14,2,16,"EM,SS","Pass",NA,"Pass",NA
"17","Grogorakis et al, 2016","10.1016/j.chemosphere.2016.11.055","Lab","unreported","Sphere",63,"Carassius auratus","Fish","N","NA","NA","Food","Sphere from facial scrubber",NA,NA,NA,63,63000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Grogorakis et al, 2017","10.1016/j.chemosphere.2016.11.056","Lab","PEST","Fiber",50,"Carassius auratus","Fish","N","NA","NA","Food","Fiber from clothing",NA,NA,NA,50,50000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Jovanovic et al, 2018","10.1016/j.marpolbul.2018.03.016","Lab","PVC high molecular weight","Fragment",75,"Sparus aurata","Fish","Y","less than 1 per fish while exposed to 2800 per day for 45 days","Liver","Food",NA,NA,NA,NA,75,75000,1,131,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,1,1,0,"F",2,2,0,0,0,1,0,1,10,6,16,"de Ruijter","Pass",NA,"Fail","B1"
"20","Jovanovic et al, 2018","10.1016/j.marpolbul.2018.03.016","Lab","PA","Fragment",111,"Sparus aurata","Fish","N","NA","NA","Food",NA,NA,NA,NA,111,111000,0,131,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,1,1,0,"F",2,2,0,0,0,1,0,1,10,6,16,"de Ruijter","Pass",NA,"Fail","B1"
"21","Jovanovic et al, 2018","10.1016/j.marpolbul.2018.03.016","Lab","PE","Fragment",23,"Sparus aurata","Fish","Y","less than 1 per fish while exposed to 2800 per day for 45 days","Liver, muscle","Food",NA,NA,NA,NA,23,23000,1,131,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,1,1,0,"F",2,2,0,0,0,1,0,1,10,6,16,"de Ruijter","Pass",NA,"Fail","B1"
"22","Jovanovic et al, 2018","10.1016/j.marpolbul.2018.03.016","Lab","PS","Fragment",51,"Sparus aurata","Fish","Y","less than 1 per fish while exposed to 2800 per day for 45 days","Liver","Food",NA,NA,NA,NA,51,51000,1,131,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,1,1,0,"F",2,2,0,0,0,1,0,1,10,6,16,"de Ruijter","Pass",NA,"Fail","B1"
"23","Jovanovic et al, 2018","10.1016/j.marpolbul.2018.03.016","Lab","MDPE","Fragment",54,"Sparus aurata","Fish","Y","less than 1 per fish while exposed to 2800 per day for 45 days","Liver","Food",NA,NA,NA,NA,54,54000,1,131,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,1,1,0,"F",2,2,0,0,0,1,0,1,10,6,16,"de Ruijter","Pass",NA,"Fail","B1"
"24","Jovanovic et al, 2018","10.1016/j.marpolbul.2018.03.016","Lab","PVC low molecular weight","Fragment",87,"Sparus aurata","Fish","N",NA,"NA","Food",NA,NA,NA,NA,87,87000,0,131,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,1,1,0,"F",2,2,0,0,0,1,0,1,10,6,16,"de Ruijter","Pass",NA,"Fail","B1"
"25","Kashiwada, 2006","10.1289/ehp.9209 ","Lab","PS","Sphere",0.0394,"Oryzias latipes","Fish","Y","NA","liver, gonads, brain","Water","Poorly described and some insight might be coming from the section about egg but don't understand",NA,NA,NA,0.0394,39.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Kim et al, 2020","10.1371/journal.pone.0239128","Lab","PE","Sphere",20,"Oncorhynchus mykiss","Fish","N","NA","NA","Food",NA,NA,NA,NA,20,20000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Kim et al, 2020","10.1371/journal.pone.0239128","Lab","PE","Sphere",32,"Oncorhynchus mykiss","Fish","N","NA","NA","Food",NA,NA,NA,NA,32,32000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Kim et al, 2020","10.1371/journal.pone.0239128","Lab","PE","Sphere",75,"Oncorhynchus mykiss","Fish","N","NA","NA","Food",NA,NA,NA,NA,75,75000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Kim et al, 2020","10.1371/journal.pone.0239128","Lab","PE","Sphere",150,"Oncorhynchus mykiss","Fish","N","NA","NA","Food",NA,NA,NA,NA,150,150000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Kim et al, 2020","10.1371/journal.pone.0239128","Lab","PE","Sphere",300,"Oncorhynchus mykiss","Fish","N","NA","NA","Food",NA,NA,NA,NA,300,3e+05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Lovmo et al, 2017","10.1016/j.dci.2016.06.016","Lab","PS","Sphere",0.5,"Danio rerio","Fish","Y","NA","Spleen","intubation_orally",NA,NA,NA,NA,0.5,500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Lovmo et al, 2017","10.1016/j.dci.2016.06.016","Lab","PS","Sphere",1,"Danio rerio","Fish","N","NA","Spleen","intubation_orally",NA,NA,NA,NA,1,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Lu et al, 2016","10.1021/acs.est.6b00183","Lab","PS","Sphere",5,"Danio rerio","Fish","N","NA","Liver","Water","Observed in histological slides (hard to see for the reader)",NA,NA,NA,5,5000,0,61,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,1,2,"F",0,0,0,0,1,1,0,0,15,2,17,"de Ruijter","Pass",NA,"Fail","B1"
"34","Lu et al, 2016","10.1021/acs.est.6b00183","Lab","PS","Sphere",20,"Danio rerio","Fish","Y","NA","Liver","Water","Observed in histological slides (hard to see for the reader)",NA,NA,NA,20,20000,1,61,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,1,2,"F",0,0,0,0,1,1,0,0,15,2,17,"de Ruijter","Pass",NA,"Fail","B1"
"35","Magni et al, 2018","10.1016/j.scitotenv.2018.03.075","Lab","PS","Sphere",1,"Dreissena polymorpha","Mussel","Y","NA","hemolymph","Water",NA,NA,NA,NA,1,1000,1,63,2,2,2,2,2,2,1,2,1,2,2,0,0,0,0,2,1,2,"F",0,2,0,0,0,0,1,0,13,3,16,"de Ruijter","Pass",NA,"Fail","B1"
"36","Magni et al, 2018","10.1016/j.scitotenv.2018.03.075","Lab","PS","Sphere",10,"Dreissena polymorpha","Mussel","Y","NA","hemolymph","Water",NA,NA,NA,NA,10,10000,1,63,2,2,2,2,2,2,1,2,1,2,2,0,0,0,0,2,1,2,"F",0,2,0,0,0,0,1,0,13,3,16,"de Ruijter","Pass",NA,"Fail","B1"
"37","Mattsson et al, 2017","10.1038/s41598-017-10813-0","Lab","PS + charge","Sphere",0.053,"Carassius carassius","Fish","Y","NA","Brain","trophic_chain","Hyperspectral microscope use for ID NP in brain so acquisition of spectra to confirm nature",NA,NA,NA,0.053,53,1,135,2,2,2,2,2,2,2,0,1,2,1,0,0,0,0,0,2,2,"F",2,2,0,0,0,0,1,1,10,6,16,"EM,AF","Fail","2","Fail","B1"
"38","Mattsson et al, 2017","10.1038/s41598-017-10813-0","Lab","PS + charge","Sphere",0.053,"Carassius carassius","Fish","Y","NA","Brain","trophic_chain","Hyperspectral microscope use for ID NP in brain so acquisition of spectra to confirm nature",NA,NA,NA,0.053,53,1,135,2,2,2,2,2,2,2,0,1,2,1,0,0,0,0,0,2,2,"P",2,2,0,0,0,0,1,1,10,6,16,"EM,AF","Fail","2","Pass",NA
"39","Mattsson et al, 2017","10.1038/s41598-017-10813-0","Lab","PS + charge","Sphere",0.18,"Carassius carassius","Fish","Y","NA","Brain","trophic_chain","Hyperspectral microscope use for ID NP in brain so acquisition of spectra to confirm nature",NA,NA,NA,0.18,180,1,135,2,2,2,2,2,2,2,0,1,2,1,0,0,0,0,0,2,2,"F",2,2,0,0,0,0,1,1,10,6,16,"EM,AF","Fail","2","Fail","B1"
"40","Mattsson et al, 2017","10.1038/s41598-017-10813-0","Lab","PS + charge","Sphere",0.18,"Carassius carassius","Fish","Y","NA","Brain","trophic_chain","Hyperspectral microscope use for ID NP in brain so acquisition of spectra to confirm nature",NA,NA,NA,0.18,180,1,135,2,2,2,2,2,2,2,0,1,2,1,0,0,0,0,0,2,2,"P",2,2,0,0,0,0,1,1,10,6,16,"EM,AF","Fail","2","Pass",NA
"41","Petrie & Ellis, 2006","10.1016/j.fsi.2005.07.006","Lab","Latex","Sphere",0.1,"Salmo salar","Fish","Y","up to 15 MP while 10^7 where administrated","Spleen; Kidney","Intubation_anally_orally",NA,NA,NA,NA,0.1,100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Petrie & Ellis, 2006","10.1016/j.fsi.2005.07.006","Lab","Latex","Sphere",0.5,"Salmo salar","Fish","Y","up to 15 MP while 10^7 where administrated","Spleen; Kidney","Intubation_anally_orally",NA,NA,NA,NA,0.5,500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Petrie & Ellis, 2006","10.1016/j.fsi.2005.07.006","Lab","Latex","Sphere",1,"Salmo salar","Fish","Y","up to 15 MP while 10^7 where administrated","Spleen; Kidney","Intubation_anally_orally",NA,NA,NA,NA,1,1000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Petrie & Ellis, 2006","10.1016/j.fsi.2005.07.006","Lab","Latex","Sphere",3,"Salmo salar","Fish","Y","up to 15 MP while 10^7 where administrated","Spleen; Kidney","Intubation_anally_orally",NA,NA,NA,NA,3,3000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Petrie & Ellis, 2006","10.1016/j.fsi.2005.07.006","Lab","Latex","Sphere",10,"Salmo salar","Fish","N","up to 15 MP while 10^7 where administrated","Spleen; Kidney","Intubation_anally_orally",NA,NA,NA,NA,10,10000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Pitt et al, 2018","10.1016/j.aquatox.2017.11.017","Lab","PS","Sphere",0.051,"Danio rerio","Fish","Y","NA","Head, yolk sac, pancreas, liver","Water","Translocation quantified with fluorescence without checking for leaching of the dye",NA,NA,NA,0.051,51,1,138,2,2,2,2,2,2,2,1,1,2,1,1,0,0,0,0,1,2,"P",2,0,0,0,0,0,1,0,11,3,14,"LH,SS","Pass",NA,"Pass",NA
"47","Sussarellu et al, 2016","10.1073/pnas.1519019113","Lab","PS","Sphere",2,"Crassostrea gigas","Oyster","N","NA","NA","Water",NA,NA,NA,NA,2,2000,0,93,2,2,2,2,2,2,1,1,1,2,2,1,0,0,2,1,1,2,"F",2,2,0,0,1,1,0,2,14,8,22,"de Ruijter","Pass",NA,"Fail","B1"
"48","Sussarellu et al, 2016","10.1073/pnas.1519019113","Lab","PS","Sphere",6,"Crassostrea gigas","Oyster","N","NA","NA","Water",NA,NA,NA,NA,6,6000,0,93,2,2,2,2,2,2,1,1,1,2,2,1,0,0,2,1,1,2,"F",2,2,0,0,1,1,0,2,14,8,22,"de Ruijter","Pass",NA,"Fail","B1"
"49","van Pomeren et al, 2017","10.1016/j.aquatox.2017.06.017","Lab","PS","Sphere",0.025,"Danio rerio","Fish","Y","NA","Eye","Water","Figure showing NP in eye are not enough as scale is 50 um so to see less than 100 nm is complicated",NA,NA,NA,0.025,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","van Pomeren et al, 2017","10.1016/j.aquatox.2017.06.017","Lab","PS","Sphere",0.05,"Danio rerio","Fish","Y","NA","Eye","Water","Figure showing NP in eye are not enough as scale is 50 um so to see less than 100 nm is complicated",NA,NA,NA,0.05,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","van Pomeren et al, 2017","10.1016/j.aquatox.2017.06.017","Lab","PS","Sphere",0.25,"Danio rerio","Fish","N","NA","Eye","Water","Figure showing NP in eye are not enough as scale is 50 um so to see less than 100 nm is complicated",NA,NA,NA,0.25,250,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","van Pomeren et al, 2017","10.1016/j.aquatox.2017.06.017","Lab","PS","Sphere",0.7,"Danio rerio","Fish","N","NA","Eye","Water","Figure showing NP in eye are not enough as scale is 50 um so to see less than 100 nm is complicated",NA,NA,NA,0.7,700,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","von Moos et al, 2012","10.1021/es302332w","Lab","HDPE","Fragment",80,"Mytilus edulis","Mussel","Y","NA","Lysosomal system","Water","Particle shape not described, guessing from figure 1",NA,NA,NA,80,80000,1,96,2,2,2,2,2,2,1,1,1,2,1,1,0,0,0,1,2,2,"F",2,1,0,0,0,0,1,0,12,4,16,"de Ruijter","Pass",NA,"Fail","B1"
"54","Zeytin et al, 2020","10.1016/j.marpolbul.2020.111210","Lab","Propretary composition (cospheric)","Sphere",5,"Dicentrarchus labrax","Fish","Y","5.3000000000000001E-6","Fillet","Food","Size verified and control for potential dye leaching",NA,NA,NA,5,5000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
